Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
Semuanya Sangat Memuaskan. Siloam Is The Best ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»,Positif,Semuanya Sangat Memuaskan Siloam Is The Best,semuanya sangat memuaskan siloam is the best,"['semuanya', 'sangat', 'memuaskan', 'siloam', 'is', 'the', 'best']",memuaskan siloam is the best,muas siloam is the best
Pelayanan untuk pesera BPJS Bagus,Positif,Pelayanan untuk pesera BPJS Bagus,pelayanan untuk pesera bpjs bagus,"['pelayanan', 'untuk', 'pesera', 'bpjs', 'bagus']",pelayanan pesera bpjs bagus,layan pesera bpjs bagus
Pengalaman yang sangat menyenangkan. Sangat cepat. Trmksh,Positif,Pengalaman yang sangat menyenangkan Sangat cepat Trmksh,pengalaman yang sangat menyenangkan sangat cepat trmksh,"['pengalaman', 'yang', 'sangat', 'menyenangkan', 'sangat', 'cepat', 'trmksh']",pengalaman menyenangkan cepat trmksh,alam senang cepat trmksh
Wifi RS jelekðŸ—¿,Negatif,Wifi RS jelek,wifi rs jelek,"['wifi', 'rs', 'jelek']",wifi rs jelek,wifi rs jelek
awesome,Positif,awesome,awesome,['awesome'],awesome,awesome
Pelayanannya cepat dan tepat.,Positif,Pelayanannya cepat dan tepat,pelayanannya cepat dan tepat,"['pelayanannya', 'cepat', 'dan', 'tepat']",pelayanannya cepat,layan cepat
Sangat baik,Positif,Sangat baik,sangat baik,"['sangat', 'baik']",,
Terima kasih atas pelayanan yg diberikan .. Salam sukses terus untuk RS Siloam ðŸ™,Positif,Terima kasih atas pelayanan yg diberikan Salam sukses terus untuk RS Siloam,terima kasih atas pelayanan yg diberikan salam sukses terus untuk rs siloam,"['terima', 'kasih', 'atas', 'pelayanan', 'yg', 'diberikan', 'salam', 'sukses', 'terus', 'untuk', 'rs', 'siloam']",terima kasih pelayanan yg salam sukses rs siloam,terima kasih layan yg salam sukses rs siloam
Baik dan pelayanan cepat,Positif,Baik dan pelayanan cepat,baik dan pelayanan cepat,"['baik', 'dan', 'pelayanan', 'cepat']",pelayanan cepat,layan cepat
Mempermudah pengguna...semoga sukses selalu...bravo,Positif,Mempermudah pengguna semoga sukses selalu bravo,mempermudah pengguna semoga sukses selalu bravo,"['mempermudah', 'pengguna', 'semoga', 'sukses', 'selalu', 'bravo']",mempermudah pengguna semoga sukses bravo,mudah guna moga sukses bravo
Mantap jd praktis,Positif,Mantap jd praktis,mantap jd praktis,"['mantap', 'jd', 'praktis']",mantap jd praktis,mantap jd praktis
Ok,Positif,Ok,ok,['ok'],ok,ok
"Tracking antrian sekarang tidak bisa, sebelumnya bisa tau kita antrian keberapa. Mohon kembali diaktifkan.",Negatif,Tracking antrian sekarang tidak bisa sebelumnya bisa tau kita antrian keberapa Mohon kembali diaktifkan,tracking antrian sekarang tidak bisa sebelumnya bisa tau kita antrian keberapa mohon kembali diaktifkan,"['tracking', 'antrian', 'sekarang', 'tidak', 'bisa', 'sebelumnya', 'bisa', 'tau', 'kita', 'antrian', 'keberapa', 'mohon', 'kembali', 'diaktifkan']",tracking antrian tau antrian keberapa mohon diaktifkan,tracking antri tau antri berapa mohon aktif
Pelayanan terbaik,Positif,Pelayanan terbaik,pelayanan terbaik,"['pelayanan', 'terbaik']",pelayanan terbaik,layan baik
Sangat Praktis tidak perlu ribet daftar dulu di RS,Positif,Sangat Praktis tidak perlu ribet daftar dulu di RS,sangat praktis tidak perlu ribet daftar dulu di rs,"['sangat', 'praktis', 'tidak', 'perlu', 'ribet', 'daftar', 'dulu', 'di', 'rs']",praktis ribet daftar rs,praktis ribet daftar rs
Ok,Positif,Ok,ok,['ok'],ok,ok
Bgaimana cara untk mengaktifkan fitur dpat chat dgn dokter,Negatif,Bgaimana cara untk mengaktifkan fitur dpat chat dgn dokter,bgaimana cara untk mengaktifkan fitur dpat chat dgn dokter,"['bgaimana', 'cara', 'untk', 'mengaktifkan', 'fitur', 'dpat', 'chat', 'dgn', 'dokter']",bgaimana untk mengaktifkan fitur dpat chat dgn dokter,bgaimana untk aktif fitur dpat chat dgn dokter
Saya sangat senang bisa tambah pengetahuan tentang ksehatan.,Positif,Saya sangat senang bisa tambah pengetahuan tentang ksehatan,saya sangat senang bisa tambah pengetahuan tentang ksehatan,"['saya', 'sangat', 'senang', 'bisa', 'tambah', 'pengetahuan', 'tentang', 'ksehatan']",senang pengetahuan ksehatan,senang tahu ksehatan
Cba untuk perserta bpjs bisa daftar online dri aplikasi biar supaya gampang cri tujuan polikliniknya. yg bisa daftar online pke aplikasi hanya yg bisa bayar saja sedangakan yg pke bpjs tidak bisa.. jadi sya uninstal saja soalnya tidak berguna untuk peserta bpjs..... terimakasih,Negatif,Cba untuk perserta bpjs bisa daftar online dri aplikasi biar supaya gampang cri tujuan polikliniknya yg bisa daftar online pke aplikasi hanya yg bisa bayar saja sedangakan yg pke bpjs tidak bisa jadi sya uninstal saja soalnya tidak berguna untuk peserta bpjs terimakasih,cba untuk perserta bpjs bisa daftar online dri aplikasi biar supaya gampang cri tujuan polikliniknya yg bisa daftar online pke aplikasi hanya yg bisa bayar saja sedangakan yg pke bpjs tidak bisa jadi sya uninstal saja soalnya tidak berguna untuk peserta bpjs terimakasih,"['cba', 'untuk', 'perserta', 'bpjs', 'bisa', 'daftar', 'online', 'dri', 'aplikasi', 'biar', 'supaya', 'gampang', 'cri', 'tujuan', 'polikliniknya', 'yg', 'bisa', 'daftar', 'online', 'pke', 'aplikasi', 'hanya', 'yg', 'bisa', 'bayar', 'saja', 'sedangakan', 'yg', 'pke', 'bpjs', 'tidak', 'bisa', 'jadi', 'sya', 'uninstal', 'saja', 'soalnya', 'tidak', 'berguna', 'untuk', 'peserta', 'bpjs', 'terimakasih']",cba perserta bpjs daftar online dri aplikasi biar gampang cri tujuan polikliniknya yg daftar online pke aplikasi yg bayar sedangakan yg pke bpjs sya uninstal berguna peserta bpjs terimakasih,cba serta bpjs daftar online dri aplikasi biar gampang cri tuju poliklinik yg daftar online pke aplikasi yg bayar sedangakan yg pke bpjs sya uninstal guna serta bpjs terimakasih
Mudah dalam pengaksesan aplikasinya,Positif,Mudah dalam pengaksesan aplikasinya,mudah dalam pengaksesan aplikasinya,"['mudah', 'dalam', 'pengaksesan', 'aplikasinya']",mudah pengaksesan aplikasinya,mudah akses aplikasi
Rs.jantung dengan pelayanan yg sangat baik,Positif,Rs jantung dengan pelayanan yg sangat baik,rs jantung dengan pelayanan yg sangat baik,"['rs', 'jantung', 'dengan', 'pelayanan', 'yg', 'sangat', 'baik']",rs jantung pelayanan yg,rs jantung layan yg
Alur jelas dan pelayanan cepat,Positif,Alur jelas dan pelayanan cepat,alur jelas dan pelayanan cepat,"['alur', 'jelas', 'dan', 'pelayanan', 'cepat']",alur pelayanan cepat,alur layan cepat
membuat janji temu sesuai dengan hari/jam yg diinginkan. melihat profil dokter yang akan dituju. dapat melihat hari dan jam layanan dokter yang tersedia. riwayat pasien yang tersimpan di portal pasien.,Positif,membuat janji temu sesuai dengan hari jam yg diinginkan melihat profil dokter yang akan dituju dapat melihat hari dan jam layanan dokter yang tersedia riwayat pasien yang tersimpan di portal pasien,membuat janji temu sesuai dengan hari jam yg diinginkan melihat profil dokter yang akan dituju dapat melihat hari dan jam layanan dokter yang tersedia riwayat pasien yang tersimpan di portal pasien,"['membuat', 'janji', 'temu', 'sesuai', 'dengan', 'hari', 'jam', 'yg', 'diinginkan', 'melihat', 'profil', 'dokter', 'yang', 'akan', 'dituju', 'dapat', 'melihat', 'hari', 'dan', 'jam', 'layanan', 'dokter', 'yang', 'tersedia', 'riwayat', 'pasien', 'yang', 'tersimpan', 'di', 'portal', 'pasien']",janji temu sesuai jam yg profil dokter dituju jam layanan dokter tersedia riwayat pasien tersimpan portal pasien,janji temu sesuai jam yg profil dokter tuju jam layan dokter sedia riwayat pasien simpan portal pasien
Saya sangat suka .. Pelayan@ ramah.dan bagus Smoga siloam asri makin sukses dan terdepan,Positif,Saya sangat suka Pelayan ramah dan bagus Smoga siloam asri makin sukses dan terdepan,saya sangat suka pelayan ramah dan bagus smoga siloam asri makin sukses dan terdepan,"['saya', 'sangat', 'suka', 'pelayan', 'ramah', 'dan', 'bagus', 'smoga', 'siloam', 'asri', 'makin', 'sukses', 'dan', 'terdepan']",suka pelayan ramah bagus smoga siloam asri sukses terdepan,suka layan ramah bagus smoga siloam asri sukses depan
Yang di perlukan dari layanan kesehatan masa kini adalah seperti ini. Terimakasih Siloam~ â¤ï¸,Positif,Yang di perlukan dari layanan kesehatan masa kini adalah seperti ini Terimakasih Siloam,yang di perlukan dari layanan kesehatan masa kini adalah seperti ini terimakasih siloam,"['yang', 'di', 'perlukan', 'dari', 'layanan', 'kesehatan', 'masa', 'kini', 'adalah', 'seperti', 'ini', 'terimakasih', 'siloam']",perlukan layanan kesehatan terimakasih siloam,perlu layan sehat terimakasih siloam
Pelayanannya sangat memuaskan,Positif,Pelayanannya sangat memuaskan,pelayanannya sangat memuaskan,"['pelayanannya', 'sangat', 'memuaskan']",pelayanannya memuaskan,layan muas
Pelayanan sangat memuaskan,Positif,Pelayanan sangat memuaskan,pelayanan sangat memuaskan,"['pelayanan', 'sangat', 'memuaskan']",pelayanan memuaskan,layan muas
Thanks siloam... Good job...,Positif,Thanks siloam Good job,thanks siloam good job,"['thanks', 'siloam', 'good', 'job']",thanks siloam good job,thanks siloam good job
Pelayanan yang luar biasa sangat menyenangkan di RS Siloam Balikpapan,Positif,Pelayanan yang luar biasa sangat menyenangkan di RS Siloam Balikpapan,pelayanan yang luar biasa sangat menyenangkan di rs siloam balikpapan,"['pelayanan', 'yang', 'luar', 'biasa', 'sangat', 'menyenangkan', 'di', 'rs', 'siloam', 'balikpapan']",pelayanan menyenangkan rs siloam balikpapan,layan senang rs siloam balikpapan
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
Sangat bermanfaat,Positif,Sangat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']",bermanfaat,manfaat
"Sangat ramah, profesional",Positif,Sangat ramah profesional,sangat ramah profesional,"['sangat', 'ramah', 'profesional']",ramah profesional,ramah profesional
Dokter dan perawatnya ramah ramah,Positif,Dokter dan perawatnya ramah ramah,dokter dan perawatnya ramah ramah,"['dokter', 'dan', 'perawatnya', 'ramah', 'ramah']",dokter perawatnya ramah ramah,dokter awat ramah ramah
Sangat baik,Positif,Sangat baik,sangat baik,"['sangat', 'baik']",,
RS Siloam rumah sakit yg paling baik,Positif,RS Siloam rumah sakit yg paling baik,rs siloam rumah sakit yg paling baik,"['rs', 'siloam', 'rumah', 'sakit', 'yg', 'paling', 'baik']",rs siloam rumah sakit yg,rs siloam rumah sakit yg
"Bersih,ramah, profesional",Positif,Bersih ramah profesional,bersih ramah profesional,"['bersih', 'ramah', 'profesional']",bersih ramah profesional,bersih ramah profesional
klo mau chat dengan dokter kok di minta masukin kode akses itu maksudnya kode apa kan saya gak dpet kode trkecuali otp,Negatif,klo mau chat dengan dokter kok di minta masukin kode akses itu maksudnya kode apa kan saya gak dpet kode trkecuali otp,klo mau chat dengan dokter kok di minta masukin kode akses itu maksudnya kode apa kan saya gak dpet kode trkecuali otp,"['klo', 'mau', 'chat', 'dengan', 'dokter', 'kok', 'di', 'minta', 'masukin', 'kode', 'akses', 'itu', 'maksudnya', 'kode', 'apa', 'kan', 'saya', 'gak', 'dpet', 'kode', 'trkecuali', 'otp']",klo chat dokter masukin kode akses maksudnya kode gak dpet kode trkecuali otp,klo chat dokter masukin kode akses maksud kode gak dpet kode trkecuali otp
Josssss mantaapppp wessss,Positif,Josssss mantaapppp wessss,josssss mantaapppp wessss,"['josssss', 'mantaapppp', 'wessss']",josssss mantaapppp wessss,josssss mantaapppp wessss
Sangat baik,Positif,Sangat baik,sangat baik,"['sangat', 'baik']",,
Sdm nya profesional dan berpengalaman tinggi,Positif,Sdm nya profesional dan berpengalaman tinggi,sdm nya profesional dan berpengalaman tinggi,"['sdm', 'nya', 'profesional', 'dan', 'berpengalaman', 'tinggi']",sdm nya profesional berpengalaman,sdm nya profesional alam
Sudah Bagus,Positif,Sudah Bagus,sudah bagus,"['sudah', 'bagus']",bagus,bagus
bagus pollll,Positif,bagus pollll,bagus pollll,"['bagus', 'pollll']",bagus pollll,bagus pollll
keren,Positif,keren,keren,['keren'],keren,keren
mantap,Positif,mantap,mantap,['mantap'],mantap,mantap
Aplikasi sangat bagus sangat membantu,Positif,Aplikasi sangat bagus sangat membantu,aplikasi sangat bagus sangat membantu,"['aplikasi', 'sangat', 'bagus', 'sangat', 'membantu']",aplikasi bagus membantu,aplikasi bagus bantu
"Apk nya sangat membantu, Pelayanan di igd RS siloam bekasi timur sangat baik juga proses tindakan cepat dan sigap, Perawat dan dokternya sangat responsif dan ramah",Positif,Apk nya sangat membantu Pelayanan di igd RS siloam bekasi timur sangat baik juga proses tindakan cepat dan sigap Perawat dan dokternya sangat responsif dan ramah,apk nya sangat membantu pelayanan di igd rs siloam bekasi timur sangat baik juga proses tindakan cepat dan sigap perawat dan dokternya sangat responsif dan ramah,"['apk', 'nya', 'sangat', 'membantu', 'pelayanan', 'di', 'igd', 'rs', 'siloam', 'bekasi', 'timur', 'sangat', 'baik', 'juga', 'proses', 'tindakan', 'cepat', 'dan', 'sigap', 'perawat', 'dan', 'dokternya', 'sangat', 'responsif', 'dan', 'ramah']",apk nya membantu pelayanan igd rs siloam bekasi timur proses tindakan cepat sigap perawat dokternya responsif ramah,apk nya bantu layan igd rs siloam bekas timur proses tindak cepat sigap awat dokter responsif ramah
"Fasilitas sangat lengkap, pelayanan kelas rasa sultan",Positif,Fasilitas sangat lengkap pelayanan kelas rasa sultan,fasilitas sangat lengkap pelayanan kelas rasa sultan,"['fasilitas', 'sangat', 'lengkap', 'pelayanan', 'kelas', 'rasa', 'sultan']",fasilitas lengkap pelayanan kelas sultan,fasilitas lengkap layan kelas sultan
Alpikasi apa ini ajing,Positif,Alpikasi apa ini ajing,alpikasi apa ini ajing,"['alpikasi', 'apa', 'ini', 'ajing']",alpikasi ajing,alpikasi ajing
"Pelayanan bagus, lebih ditingkatkan",Positif,Pelayanan bagus lebih ditingkatkan,pelayanan bagus lebih ditingkatkan,"['pelayanan', 'bagus', 'lebih', 'ditingkatkan']",pelayanan bagus ditingkatkan,layan bagus tingkat
Aplikasi ini Sangat membantu yang belum tahu mengetahui nama obat dan resep,Positif,Aplikasi ini Sangat membantu yang belum tahu mengetahui nama obat dan resep,aplikasi ini sangat membantu yang belum tahu mengetahui nama obat dan resep,"['aplikasi', 'ini', 'sangat', 'membantu', 'yang', 'belum', 'tahu', 'mengetahui', 'nama', 'obat', 'dan', 'resep']",aplikasi membantu nama obat resep,aplikasi bantu nama obat resep
Tidak bisa di bagian pembayaran,Negatif,Tidak bisa di bagian pembayaran,tidak bisa di bagian pembayaran,"['tidak', 'bisa', 'di', 'bagian', 'pembayaran']",pembayaran,bayar
Aplikasi sangat akurat dan membantu sekali utk memilih dokter yg akan dituju dan dapat memilih jam janji temu sesuai kebutuhan. Tracking selama kunjungan juga sangat membantu. Termasuk portal pasien. Lengkap dan dapat menjadi acuan riwayat pasien. Terimakasih siloam.,Positif,Aplikasi sangat akurat dan membantu sekali utk memilih dokter yg akan dituju dan dapat memilih jam janji temu sesuai kebutuhan Tracking selama kunjungan juga sangat membantu Termasuk portal pasien Lengkap dan dapat menjadi acuan riwayat pasien Terimakasih siloam,aplikasi sangat akurat dan membantu sekali utk memilih dokter yg akan dituju dan dapat memilih jam janji temu sesuai kebutuhan tracking selama kunjungan juga sangat membantu termasuk portal pasien lengkap dan dapat menjadi acuan riwayat pasien terimakasih siloam,"['aplikasi', 'sangat', 'akurat', 'dan', 'membantu', 'sekali', 'utk', 'memilih', 'dokter', 'yg', 'akan', 'dituju', 'dan', 'dapat', 'memilih', 'jam', 'janji', 'temu', 'sesuai', 'kebutuhan', 'tracking', 'selama', 'kunjungan', 'juga', 'sangat', 'membantu', 'termasuk', 'portal', 'pasien', 'lengkap', 'dan', 'dapat', 'menjadi', 'acuan', 'riwayat', 'pasien', 'terimakasih', 'siloam']",aplikasi akurat membantu utk memilih dokter yg dituju memilih jam janji temu sesuai kebutuhan tracking kunjungan membantu portal pasien lengkap acuan riwayat pasien terimakasih siloam,aplikasi akurat bantu utk pilih dokter yg tuju pilih jam janji temu sesuai butuh tracking kunjung bantu portal pasien lengkap acu riwayat pasien terimakasih siloam
"Sy senang DTG Siloam BPJS,pelayanan baik skli dgn dktr2nya,mulai dari administrasi, security, perawat nya juga.. semuanya baik sekali.. terima kasih pelayanan nya",Positif,Sy senang DTG Siloam BPJS pelayanan baik skli dgn dktr nya mulai dari administrasi security perawat nya juga semuanya baik sekali terima kasih pelayanan nya,sy senang dtg siloam bpjs pelayanan baik skli dgn dktr nya mulai dari administrasi security perawat nya juga semuanya baik sekali terima kasih pelayanan nya,"['sy', 'senang', 'dtg', 'siloam', 'bpjs', 'pelayanan', 'baik', 'skli', 'dgn', 'dktr', 'nya', 'mulai', 'dari', 'administrasi', 'security', 'perawat', 'nya', 'juga', 'semuanya', 'baik', 'sekali', 'terima', 'kasih', 'pelayanan', 'nya']",sy senang dtg siloam bpjs pelayanan skli dgn dktr nya administrasi security perawat nya terima kasih pelayanan nya,sy senang dtg siloam bpjs layan skli dgn dktr nya administrasi security awat nya terima kasih layan nya
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
Pengalaman pelayanan dan terintergrasi yg sangat memuaskan. Trima kasih,Positif,Pengalaman pelayanan dan terintergrasi yg sangat memuaskan Trima kasih,pengalaman pelayanan dan terintergrasi yg sangat memuaskan trima kasih,"['pengalaman', 'pelayanan', 'dan', 'terintergrasi', 'yg', 'sangat', 'memuaskan', 'trima', 'kasih']",pengalaman pelayanan terintergrasi yg memuaskan trima kasih,alam layan terintergrasi yg muas trima kasih
Uu ypho ðŸ”™ðŸ˜ƒðŸ˜š:OB-):-PB-)â‰§Ï‰â‰¦,Positif,Uu ypho OB PB,uu ypho ob pb,"['uu', 'ypho', 'ob', 'pb']",uu ypho ob pb,uu ypho ob pb
Sangat membantu sekali,Positif,Sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",membantu,bantu
"rs terbaikkk ,kualiatas ok, akses mudah dan csnggih cepst tepat",Positif,rs terbaikkk kualiatas ok akses mudah dan csnggih cepst tepat,rs terbaikkk kualiatas ok akses mudah dan csnggih cepst tepat,"['rs', 'terbaikkk', 'kualiatas', 'ok', 'akses', 'mudah', 'dan', 'csnggih', 'cepst', 'tepat']",rs terbaikkk kualiatas ok akses mudah csnggih cepst,rs terbaikkk kualiatas ok akses mudah csnggih cepst
Humanis dan Profesional dalam pelayanan kesehatan. Terimakasih banyak Siloam hospital Ambon.,Positif,Humanis dan Profesional dalam pelayanan kesehatan Terimakasih banyak Siloam hospital Ambon,humanis dan profesional dalam pelayanan kesehatan terimakasih banyak siloam hospital ambon,"['humanis', 'dan', 'profesional', 'dalam', 'pelayanan', 'kesehatan', 'terimakasih', 'banyak', 'siloam', 'hospital', 'ambon']",humanis profesional pelayanan kesehatan terimakasih siloam hospital ambon,humanis profesional layan sehat terimakasih siloam hospital ambon
Keren bangetttt! Semua nge-link ke Aplikasi. Antrian Virtual dan Portal Pasien membantu banget... sangat up to date semua bisa cek di aplikasi!,Positif,Keren bangetttt Semua nge link ke Aplikasi Antrian Virtual dan Portal Pasien membantu banget sangat up to date semua bisa cek di aplikasi,keren bangetttt semua nge link ke aplikasi antrian virtual dan portal pasien membantu banget sangat up to date semua bisa cek di aplikasi,"['keren', 'bangetttt', 'semua', 'nge', 'link', 'ke', 'aplikasi', 'antrian', 'virtual', 'dan', 'portal', 'pasien', 'membantu', 'banget', 'sangat', 'up', 'to', 'date', 'semua', 'bisa', 'cek', 'di', 'aplikasi']",keren bangetttt nge link aplikasi antrian virtual portal pasien membantu banget up to date cek aplikasi,keren bangetttt nge link aplikasi antri virtual portal pasien bantu banget up to date cek aplikasi
Saya tidak dapat surat rujukan. Trimakasih,Negatif,Saya tidak dapat surat rujukan Trimakasih,saya tidak dapat surat rujukan trimakasih,"['saya', 'tidak', 'dapat', 'surat', 'rujukan', 'trimakasih']",surat rujukan trimakasih,surat rujuk trimakasih
"Yang datang lebih awal, dipanggil paling akhir,,, memang bedebah petugas nya, penilaian saya 1-10 Saya hanya bisa nilai 1.",Negatif,Yang datang lebih awal dipanggil paling akhir memang bedebah petugas nya penilaian saya Saya hanya bisa nilai,yang datang lebih awal dipanggil paling akhir memang bedebah petugas nya penilaian saya saya hanya bisa nilai,"['yang', 'datang', 'lebih', 'awal', 'dipanggil', 'paling', 'akhir', 'memang', 'bedebah', 'petugas', 'nya', 'penilaian', 'saya', 'saya', 'hanya', 'bisa', 'nilai']",dipanggil bedebah petugas nya penilaian nilai,panggil bedebah tugas nya nilai nilai
Sangat suka,Positif,Sangat suka,sangat suka,"['sangat', 'suka']",suka,suka
Dokter nya ramah n baikk!!pelayanan rumah sakit bagusss bgttt wajib download my SiloamðŸ‘ðŸ»ðŸ¥°,Positif,Dokter nya ramah n baikk pelayanan rumah sakit bagusss bgttt wajib download my Siloam,dokter nya ramah n baikk pelayanan rumah sakit bagusss bgttt wajib download my siloam,"['dokter', 'nya', 'ramah', 'n', 'baikk', 'pelayanan', 'rumah', 'sakit', 'bagusss', 'bgttt', 'wajib', 'download', 'my', 'siloam']",dokter nya ramah n baikk pelayanan rumah sakit bagusss bgttt wajib download my siloam,dokter nya ramah n baikk layan rumah sakit bagusss bgttt wajib download my siloam
puas dengan pelayanan yang tidak lama baik dalam antrian pendaftaran ataupun pemeriksaannya,Positif,puas dengan pelayanan yang tidak lama baik dalam antrian pendaftaran ataupun pemeriksaannya,puas dengan pelayanan yang tidak lama baik dalam antrian pendaftaran ataupun pemeriksaannya,"['puas', 'dengan', 'pelayanan', 'yang', 'tidak', 'lama', 'baik', 'dalam', 'antrian', 'pendaftaran', 'ataupun', 'pemeriksaannya']",puas pelayanan antrian pendaftaran pemeriksaannya,puas layan antri daftar periksa
Nama ku widianto alamat jlr 25.d.6.no.63.ds.srijayabaru.kc.airsugihan.palembang.sumsel. umur ak 61.th pengalaman bisnis skrng pekebun sawit,Positif,Nama ku widianto alamat jlr d no ds srijayabaru kc airsugihan palembang sumsel umur ak th pengalaman bisnis skrng pekebun sawit,nama ku widianto alamat jlr d no ds srijayabaru kc airsugihan palembang sumsel umur ak th pengalaman bisnis skrng pekebun sawit,"['nama', 'ku', 'widianto', 'alamat', 'jlr', 'd', 'no', 'ds', 'srijayabaru', 'kc', 'airsugihan', 'palembang', 'sumsel', 'umur', 'ak', 'th', 'pengalaman', 'bisnis', 'skrng', 'pekebun', 'sawit']",nama ku widianto alamat jlr d no ds srijayabaru kc airsugihan palembang sumsel umur ak th pengalaman bisnis skrng pekebun sawit,nama ku widianto alamat jlr d no ds srijayabaru kc airsugihan palembang sumsel umur ak th alam bisnis skrng kebun sawit
Perbanyak Fitur untuk mempermudah Pasien untuk Daftar atau Konsultasi dengan Dokter Salam Sehat dan Sukses Selalu,Positif,Perbanyak Fitur untuk mempermudah Pasien untuk Daftar atau Konsultasi dengan Dokter Salam Sehat dan Sukses Selalu,perbanyak fitur untuk mempermudah pasien untuk daftar atau konsultasi dengan dokter salam sehat dan sukses selalu,"['perbanyak', 'fitur', 'untuk', 'mempermudah', 'pasien', 'untuk', 'daftar', 'atau', 'konsultasi', 'dengan', 'dokter', 'salam', 'sehat', 'dan', 'sukses', 'selalu']",perbanyak fitur mempermudah pasien daftar konsultasi dokter salam sehat sukses,banyak fitur mudah pasien daftar konsultasi dokter salam sehat sukses
Sinergi aplikasinya sangat baik. Saya tidak perlu bolak balik membawa hasil test antar RS Siloam. Semuanya terintegrasi dengan baik. Saya bisa re-lookup hasil lab atau resep obat yang diberikan dokter apabila dibutuhkan untuk Dokter yang sedang memeriksa kita saat ini untuk keperluan diagnosa. Bisa melakukan reservasi dokter dengan baik meski pada akhirnya mau datang jam berapapun sistemnya akan FIFO (FirstInFirstOut). Perlu pengembangan integrasi dengan Asuransi seperti Halodoc agar lebih baik,Positif,Sinergi aplikasinya sangat baik Saya tidak perlu bolak balik membawa hasil test antar RS Siloam Semuanya terintegrasi dengan baik Saya bisa re lookup hasil lab atau resep obat yang diberikan dokter apabila dibutuhkan untuk Dokter yang sedang memeriksa kita saat ini untuk keperluan diagnosa Bisa melakukan reservasi dokter dengan baik meski pada akhirnya mau datang jam berapapun sistemnya akan FIFO FirstInFirstOut Perlu pengembangan integrasi dengan Asuransi seperti Halodoc agar lebih baik,sinergi aplikasinya sangat baik saya tidak perlu bolak balik membawa hasil test antar rs siloam semuanya terintegrasi dengan baik saya bisa re lookup hasil lab atau resep obat yang diberikan dokter apabila dibutuhkan untuk dokter yang sedang memeriksa kita saat ini untuk keperluan diagnosa bisa melakukan reservasi dokter dengan baik meski pada akhirnya mau datang jam berapapun sistemnya akan fifo firstinfirstout perlu pengembangan integrasi dengan asuransi seperti halodoc agar lebih baik,"['sinergi', 'aplikasinya', 'sangat', 'baik', 'saya', 'tidak', 'perlu', 'bolak', 'balik', 'membawa', 'hasil', 'test', 'antar', 'rs', 'siloam', 'semuanya', 'terintegrasi', 'dengan', 'baik', 'saya', 'bisa', 're', 'lookup', 'hasil', 'lab', 'atau', 'resep', 'obat', 'yang', 'diberikan', 'dokter', 'apabila', 'dibutuhkan', 'untuk', 'dokter', 'yang', 'sedang', 'memeriksa', 'kita', 'saat', 'ini', 'untuk', 'keperluan', 'diagnosa', 'bisa', 'melakukan', 'reservasi', 'dokter', 'dengan', 'baik', 'meski', 'pada', 'akhirnya', 'mau', 'datang', 'jam', 'berapapun', 'sistemnya', 'akan', 'fifo', 'firstinfirstout', 'perlu', 'pengembangan', 'integrasi', 'dengan', 'asuransi', 'seperti', 'halodoc', 'agar', 'lebih', 'baik']",sinergi aplikasinya bolak membawa hasil test rs siloam terintegrasi re lookup hasil lab resep obat dokter dibutuhkan dokter memeriksa keperluan diagnosa reservasi dokter jam sistemnya fifo firstinfirstout pengembangan integrasi asuransi halodoc,sinergi aplikasi bolak bawa hasil test rs siloam integrasi re lookup hasil lab resep obat dokter butuh dokter periksa perlu diagnosa reservasi dokter jam sistem fifo firstinfirstout kembang integrasi asuransi halodoc
Great,Positif,Great,great,['great'],great,great
"Gak bisa diinstall, buang2 kuota ajaðŸ˜¤",Negatif,Gak bisa diinstall buang kuota aja,gak bisa diinstall buang kuota aja,"['gak', 'bisa', 'diinstall', 'buang', 'kuota', 'aja']",gak diinstall buang kuota aja,gak diinstall buang kuota aja
Semua staf dan dokter sangat ramah dan sangat membantu,Positif,Semua staf dan dokter sangat ramah dan sangat membantu,semua staf dan dokter sangat ramah dan sangat membantu,"['semua', 'staf', 'dan', 'dokter', 'sangat', 'ramah', 'dan', 'sangat', 'membantu']",staf dokter ramah membantu,staf dokter ramah bantu
Jalur Bpjs gk bisa boking,Negatif,Jalur Bpjs gk bisa boking,jalur bpjs gk bisa boking,"['jalur', 'bpjs', 'gk', 'bisa', 'boking']",jalur bpjs gk boking,jalur bpjs gk boking
Pelayanan yg bagus. Luarr biasa,Positif,Pelayanan yg bagus Luarr biasa,pelayanan yg bagus luarr biasa,"['pelayanan', 'yg', 'bagus', 'luarr', 'biasa']",pelayanan yg bagus luarr,layan yg bagus luarr
Bru download mdh2n besar manfaat nya,Positif,Bru download mdh n besar manfaat nya,bru download mdh n besar manfaat nya,"['bru', 'download', 'mdh', 'n', 'besar', 'manfaat', 'nya']",bru download mdh n manfaat nya,bru download mdh n manfaat nya
